#F EADL97_LShellConstants.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 Shell constants.
#U02 to simplify its use with the fisx and PyMca software packages.
#U03
#U04 Neither those packages or their author(s) claim any ownership of
#U05 the data and they do not warrant the integrity of the data following 
#U07 the conversion process.
#U06
#U07 EADL itself can be found at:
#U08           http://www-nds.iaea.org/epdl97/libsall.htm
#U09 The code used to generate this file has been:
#U10 GenerateEADLShellConstants.py
#U11
#U12 The proper way to quote these data is:
#U13 D.E. Cullen, et al., "Tables and Graphs of Atomic Subshell and 
#U14 Relaxation Data Derived from the LLNL Evaluated Atomic Data Library
#U15 (EADL), Z = 1 - 100," Lawrence Livermore National Laboratory, UCRL-50400,
#U16  Vol. 30, October 1991
#U17 The author of these data, D.E. Cullen, has stated that redistribution of the
#U18 data is permitted provided the previous credits are maintained.
#U19 

#S 1 L1 x-ray data
#N 4
#L Z  f12  f13  omegaL1
40  1.2040E-01  2.9751E-02
41  1.2784E-01  3.2603E-02
42  1.3393E-01  3.5669E-02
43  1.4008E-01  3.8930E-02
44  1.4545E-01  4.2453E-02
45  1.5080E-01  4.6172E-02
46  1.5588E-01  5.0162E-02
47  1.6036E-01  5.4349E-02
48  1.6299E-01  5.8890E-02
49  1.6626E-01  6.3571E-02
50  1.6949E-01  6.8483E-02
51  1.7175E-01  7.3685E-02
52  1.7390E-01  7.9097E-02
53  1.7542E-01  8.4849E-02
54  1.7770E-01  9.6081E-02
55  1.7870E-01  1.0255E-01
56  1.7956E-01  1.0932E-01
57  1.8059E-01  1.1637E-01
58  1.7691E-01  1.2481E-01
59  1.7477E-01  1.3327E-01
60  1.7240E-01  1.4212E-01
61  1.7025E-01  1.5130E-01
62  1.6765E-01  1.6091E-01
63  1.6536E-01  1.7082E-01
64  1.6438E-01  1.8063E-01
65  1.6036E-01  1.9173E-01
66  1.5774E-01  2.0263E-01
67  1.5526E-01  2.1384E-01
68  1.5244E-01  2.2555E-01
69  1.4988E-01  2.3726E-01
70  1.4722E-01  2.4940E-01
71  1.4490E-01  2.6154E-01
72  1.4318E-01  2.7355E-01
73  1.4128E-01  2.8581E-01
74  1.3971E-01  2.9817E-01
75  1.3734E-01  3.1094E-01
76  1.3525E-01  3.2368E-01
77  1.3298E-01  3.3701E-01
78  1.3065E-01  3.5005E-01
79  1.2848E-01  3.6326E-01
80  1.2618E-01  3.7639E-01
81  1.2403E-01  3.8955E-01
82  1.2155E-01  4.0288E-01
83  1.1934E-01  4.1607E-01
84  1.1688E-01  4.2934E-01
85  1.1461E-01  4.4250E-01
86  1.1206E-01  4.5576E-01
87  1.0979E-01  4.6886E-01
88  1.5012E-01  4.5793E-01
89  1.4657E-01  4.7110E-01
90  1.4240E-01  4.8451E-01
91  2.3345E-01  4.3825E-01
92  2.2809E-01  4.5112E-01
93  2.2173E-01  4.6477E-01
94  2.1560E-01  4.7854E-01
95  2.0896E-01  4.9217E-01
96  2.0253E-01  5.0553E-01
97  2.1403E-01  5.0855E-01
98  2.0694E-01  5.2137E-01
99  2.0127E-01  5.3463E-01
100  1.9541E-01  5.4805E-01

#S 3 L3 x-ray data
#N 2
#L Z  omegaL3
1  0.0000E+00
2  0.0000E+00
3  0.0000E+00
4  0.0000E+00
5  0.0000E+00
6  0.0000E+00
7  0.0000E+00
8  0.0000E+00
9  0.0000E+00
10  0.0000E+00
11  0.0000E+00
12  0.0000E+00
13  0.0000E+00
14  0.0000E+00
15  0.0000E+00
16  0.0000E+00
17  0.0000E+00
18  0.0000E+00
19  0.0000E+00
20  0.0000E+00
21  6.0909E-04
22  1.1365E-03
23  1.8306E-03
24  2.8411E-03
25  3.6730E-03
26  4.7880E-03
27  6.0113E-03
28  7.3317E-03
29  8.7822E-03
30  1.0237E-02
31  1.1733E-02
32  1.3313E-02
33  1.4969E-02
34  1.6724E-02
35  1.8601E-02
36  2.0583E-02
37  2.2788E-02
38  2.5177E-02
39  2.7779E-02
40  3.0590E-02
41  3.3627E-02
42  3.6857E-02
43  4.0300E-02
44  4.3964E-02
45  4.7866E-02
46  5.2011E-02
47  5.6374E-02
48  6.0959E-02
49  6.5719E-02
50  7.0674E-02
51  7.5867E-02
52  8.1272E-02
53  8.6884E-02
54  9.8181E-02
55  1.0439E-01
56  1.1086E-01
57  1.1760E-01
58  1.2489E-01
59  1.3237E-01
60  1.4009E-01
61  1.4807E-01
62  1.5627E-01
63  1.6470E-01
64  1.7326E-01
65  1.8221E-01
66  1.9128E-01
67  2.0052E-01
68  2.0989E-01
69  2.1949E-01
70  2.2919E-01
71  2.3899E-01
72  2.4882E-01
73  2.5879E-01
74  2.6873E-01
75  2.7890E-01
76  2.8892E-01
77  2.9909E-01
78  3.0928E-01
