#F D:/Cu-EXAFS.dat
#D Mon Jun 04 14:15:57 2012

#S 1 cu.dat 1.1 Column 2
#D Mon Jun 04 14:15:57 2012
#N 2
#L Column 1  Column 2
8969.254  0.4081555
8969.528  0.4090507
8969.805  0.409889
8970.079  0.4108406
8970.354  0.4116963
8970.63  0.4127138
8970.905  0.4137232
8971.181  0.4148071
8971.457  0.415973
8971.732  0.4171889
8972.007  0.4186331
8972.283  0.4199424
8972.559  0.4213251
8972.834  0.4230776
8973.109  0.4247253
8973.384  0.4266207
8973.66  0.4285032
8973.937  0.4306514
8974.213  0.4329617
8974.488  0.4356467
8974.764  0.4383385
8975.039  0.4413854
8975.315  0.4447642
8975.591  0.4485911
8975.866  0.4528653
8976.142  0.4579183
8976.418  0.4632914
8976.694  0.4695695
8976.971  0.4768403
8977.246  0.4855136
8977.522  0.4960385
8977.797  0.5081937
8978.074  0.5229037
8978.35  0.5410136
8978.626  0.5634328
8978.901  0.5923289
8979.178  0.6275938
8979.454  0.671039
8979.729  0.7264798
8980.006  0.7947653
8980.283  0.879519
8980.56  0.9748746
8980.835  1.080868
8981.11  1.193872
8981.388  1.303977
8981.664  1.410339
8981.94  1.498387
8982.217  1.568111
8982.492  1.619171
8982.77  1.651143
8983.045  1.668186
8983.322  1.67319
8983.598  1.670749
8983.875  1.663615
8984.151  1.655194
8984.429  1.648006
8984.704  1.644611
8984.98  1.646567
8985.258  1.654574
8985.535  1.668721
8985.811  1.688981
8986.087  1.713222
8986.364  1.740571
8986.641  1.769836
8986.917  1.800013
8987.195  1.830328
8987.473  1.859468
8987.748  1.889266
8988.024  1.920627
8988.302  1.953865
8988.579  1.989283
8988.854  2.026803
8989.132  2.066449
8989.409  2.110703
8989.687  2.157959
8989.963  2.210173
8990.241  2.263403
8990.518  2.321083
8990.795  2.381135
8991.072  2.444279
8991.349  2.510028
8991.626  2.573843
8991.903  2.639534
8992.18  2.705535
8992.457  2.771694
8992.735  2.835429
